Telephely,Leltárhely megn.,Anyagnem,HETK kód,Eszköz,Megnevezés,Mennyiség,Bázis menny.egység,Eszközosztály,Gyártási szám
AHA7700524,Minősített rendszerek,31,403059137208,193000281677,TP-LINK TL-SG2424 24P switch,1,DB,19311100,2226266001691
AHA7700524,Minősített rendszerek,31,401132009603,193000285983,Acer VX2710G i5-13400 2.5GHz számítógép,1,DB,19311100,L43601BCE9600
AHA7700524,Minősített rendszerek,31,401132009603,193000285984,Acer VX2710G i5-13400 2.5GHz számítógép,1,DB,19311100,L43601B2F9600
AHA7700524,Minősített rendszerek,31,401132009603,193000285985,Acer VX2710G i5-13400 2.5GHz számítógép,1,DB,19311100,L43601B5A9600
AHA7700524,Minősített rendszerek,31,401132009603,193000285986,Acer VX2710G i5-13400 2.5GHz számítógép,1,DB,19311100,L43601BE79600
AHA7700524,Minősített rendszerek,31,401132009603,193000285987,Acer VX2710G i5-13400 2.5GHz számítógép,1,DB,19311100,L43601BCA9600
AHA7700524,Minősített rendszerek,31,401132009603,193000285988,Acer VX2710G i5-13400 2.5GHz számítógép,1,DB,19311100,L43601B4F9600
AHA7700524,Minősített rendszerek,31,401132009603,193000285989,Acer VX2710G i5-13400 2.5GHz számítógép,1,DB,19311100,L43601AE39600
AHA7700524,Minősített rendszerek,31,401132009603,193000285990,Acer VX2710G i5-13400 2.5GHz számítógép,1,DB,19311100,L43601BC89600
AHA7700524,Minősített rendszerek,31,669210191201,193000285991,"Rack szekr. falra 19"" 12U",1,DB,19311800,RACK_12U_003
AHA7700524,Minősített rendszerek,31,669210191201,193000285992,"Rack szekr. falra 19"" 12U",1,DB,19311800,RACK_12U_004
AHA7700524,Minősített rendszerek,31,401180110506,912000004651,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0207
AHA7700524,Minősített rendszerek,31,401180110506,912000004652,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0208
AHA7700524,Minősített rendszerek,31,401180110506,912000004677,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0394
AHA7700524,Minősített rendszerek,31,401180110506,912000004678,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0396
AHA7700524,Minősített rendszerek,31,401180110506,912000004680,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0398
AHA7700524,Minősített rendszerek,31,401180110506,912000004706,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0718
AHA7700524,Minősített rendszerek,31,401180110506,912000004714,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0728
AHA7700524,Minősített rendszerek,31,401180110506,912000004716,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0730
AHA7700524,Minősített rendszerek,31,403040253202,912000004809,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA3455
AHA7700524,Minősített rendszerek,31,403040253202,912000004819,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA3489
AHA7700524,Minősített rendszerek,31,403040253202,912000004822,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA3497
AHA7700524,Minősített rendszerek,31,403040253202,912000004855,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA3672
AHA7700524,Minősített rendszerek,31,403040253202,912000004857,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA3678
AHA7700524,Minősített rendszerek,31,403040253202,912000004876,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA3782
AHA7700524,Minősített rendszerek,31,403040253202,912000004892,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA3841
AHA7700524,Minősített rendszerek,31,403040253202,912000004953,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA4153
AHA7700524,Minősített rendszerek,31,401150316504,912000005583,HP 250 G4 i3 NOTEBOOK HDD,1,DB,P1200000,EI16NB77A5183
AHA7700524,Minősített rendszerek,31,401180110506,912000005624,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90A5739
AHA7700524,Minősített rendszerek,31,401180110506,912000005662,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0530
AHA7700524,Minősített rendszerek,31,401180110506,912000005683,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0888
AHA7700524,Minősített rendszerek,31,401180110506,912000005687,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0892
AHA7700524,Minősített rendszerek,31,403040253202,912000005720,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA2134
AHA7700524,Minősített rendszerek,31,403040253202,912000005757,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA4049
AHA7700524,Minősített rendszerek,31,403040253202,912000005787,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA4296
AHA7700524,Minősített rendszerek,31,401180110506,912000011134,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90B0656
AHA7700524,Minősített rendszerek,31,403040253202,912000011193,MONITOR SAMS.LS22F350FHUXEN,1,DB,P1200000,EI16HM90MA7190
AHA7700524,Minősített rendszerek,31,401180110506,912000011228,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90FB1358
AHA7700524,Minősített rendszerek,31,401180110506,912000012231,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90A7150
AHA7700524,Minősített rendszerek,31,401180110506,912000012314,EI LENOVO S510 SZGÉP,1,DB,P1200000,EI16HM90A8900
AHA7700524,Minősített rendszerek,31,403013602107,912000013441,HP LJ M402dn A4 level-C nyomtató,1,DB,P1200000,EI1635TCT6208
AHA7700524,Minősített rendszerek,31,401132002210,912000013486,TEMPEST LEVEL-C MUNKAÁLLS.,1,DB,P1200000,EI1721TCT4542
AHA7700524,Minősített rendszerek,31,403011094605,912000013489,HP LJ M477FDN-C Level-C nyomt.,1,DB,P1200000,EI1721TCT4686
AHA7700524,Minősített rendszerek,19,999990850704,914000040478,CIMKENYOMTATÓ BROTHER PT2450DX,1,DB,P1400000,.0102
